eventType,comments
Other,drilled <number> hole from <number> m to <number> m  flow rate  <number>  <number> lpm  spp  <number> psixxunitmwin  <number> sgxxunitmwout  <number> sg wob  <number>  <number> tons rpm  <number>  <number> torq  <number>  <number>xxunitkftlbs average rop  <number> mhrs rop on bottom  <number> mhrs observed string vibrations and unable to perform dot no down hole losses  pumped <number> m<number> high  visc pill after every stand drilled and <number> rapid sweep at every connection pumped <number> m<number> high visc lcm in the middle of stand washed up and reamed down <number> times after every stand drilled formation lower fars formation lithology sandstone <number>% claystone <number>% anhydride <number>% limestone <number>%
Other,drilled <number> hole from <number> m to <number> m  flow rate  <number>  <number> lpm  spp  <number> psixxunitmwin  <number> sgxxunitmwout  <number> sg wob  <number>  <number> tons rpm  <number>  <number> torq  <number>  <number>xxunitkftlbs average rop  <number> mhrs rop on bottom  <number> mhrs no down hole losses  pumped <number> m<number> high  visc pill after every stand drilled and <number> rapid sweep at every connection washed up and reamed down <number> times after every stand drilled formation marked top of ghar formation at <number>m  formation lithology at <number>m sandstone <number>% claystone <number>% marl <number>%  
Other,drilled <number> hole from <number> m to <number> m  flow rate  <number>  <number> lpm  spp  <number> psixxunitmwin  <number> sgxxunitmwout  <number> sg wob  <number>  <number> tons rpm  <number>  <number> torq  <number>  <number>xxunitkftlbs average rop  <number> mhrs rop on bottom  <number> mhrs no down hole losses  pumped <number> m<number> high  visc pill after every stand drilled and <number> rapid sweep at every connection washed up and reamed down <number> times after every stand drilled formation ghar formation formation lithology at <number>m limestone <number>% anhydride <number>%  
Other,cont pu mu <number> bha and rih bha from <number> m to <number> m theoretical displacement <number> m<number> actual displacement <number> m<number>   bha handling slow due to rig tongs were not gripping properly  
Other,rih <number> bha on <number> drill pipes from <number> m to <number> m and tag cement with <number> tons slack off weight washed down last two stands  performed kick drill while rih response time  <number> seconds
Other,pressure tested <number> casing at <number> psi for <number> mins  ok 
Other,drilled out cement stabin float shoe and rat hole from <number> m to <number> m flow rate <number> lpm spp<number> psi wob <number> ton rpm <number>  torque <number>  <number> klbft meanwhile cut the mud weight from <number> sg to <number> sg
Other,pumped high vis circulate and condition mud prior to fit pulled bit inside <number> csg shoexxunitmwin <number>sgxxunitmwout <number> sg flow rate <number> lpm spp <number> psi
Other,position <number> bit inside casing shoe at <number> m closed  bop and perform sbt with mud <number> sg to  emw <number> sg applied <number> psi surface  pressure for <number> minutes ok 
Other,drilled <number> hole from <number> m to <number> m flow rate  <number>  <number> lpm  spp  <number>  <number> psixxunitmwin  <number> sgxxunitmwout  <number> sg wob  <number>  <number> tons rpm  <number>  <number> torq  <number>  <number>xxunitkftlbs pumped <number> rapid sweeps during connection and <number> m<number> high vis in middle of each stand wash up and ream down after every drilled stand  average rop  <number> mhrs rop on bottom  <number> mhrs down hole losses  <number> m<number>hr formation dammam last sample at <number> m  dolomite <number> % performed h<number>s drill good response by pob
Other,serviced top drive 
Other,drilled <number> hole from <number> m to <number> m flow rate  <number>  <number> lpm  spp  <number>  <number> psixxunitmwin  <number> sgxxunitmwout  <number> sg wob  <number>  <number> tons rpm  <number>  <number> torq  <number>  <number>xxunitkftlbs pumped <number> rapid sweeps during connection and <number> m<number> high vis lcm in middle of each stand wash up and ream down after every drilled stand  average rop  <number> mhrs rop on bottom  <number> mhrs down hole losses  <number> m<number>hr formation dammam lithology at <number> m  dolomite <number>%
